id,name
2065,슈렐리아의 군가
3001,저녁갑주
3003,대천사의 지팡이
3004,마나무네
3006,광전사의 군화
3009,신속의 장화
3011,화학공학 부패기
3020,마법사의 신발
3026,수호 천사
3031,무한의 대검
3033,필멸자의 운명
3035,최후의 속삭임
3036,도미닉 경의 인사
3040,대천사의 포옹
3041,메자이의 영혼약탈자
3042,무라마나
3046,유령 무희
3047,판금 장화
3050,지크의 융합
3053,스테락의 도전
3065,정령의 형상
3068,태양불꽃 방패
3071,칠흑의 양날 도끼
3072,피바라기
3074,굶주린 히드라
3075,가시 갑옷
3078,삼위일체
3083,워모그의 갑옷
3084,강철심장
3085,루난의 허리케인
3087,스태틱의 단검
3089,라바돈의 죽음모자
3091,마법사의 최후
3094,고속 연사포
3095,폭풍갈퀴
3100,리치베인
3102,밴시의 장막
3105,군단의 방패
3107,구원
3109,기사의 맹세
3110,얼어붙은 심장
3111,헤르메스의 발걸음
3115,내셔의 이빨
3116,라일라이의 수정홀
3117,기동력의 장화
3119,혹한의 손길
3121,종말의 겨울
3124,구인수의 격노검
3135,공허의 지팡이
3139,헤르메스의 시미터
3142,요우무의 유령검
3143,란두인의 예언
3152,마법공학 로켓 벨트
3153,몰락한 왕의 검
3156,맬모셔스의 아귀
3157,존야의 모래시계
3158,명석함의 아이오니아 장화
3161,쇼진의 창
3165,모렐로노미콘
3179,그림자 검
3181,선체파괴자
3190,강철의 솔라리 펜던트
3193,가고일 돌갑옷
3222,미카엘의 축복
3504,불타는 향로
3508,정수 약탈자
3742,망자의 갑옷
3748,거대한 히드라
3814,밤의 끝자락
3850,주문도둑의 검
3851,얼음 송곳니
3853,얼음 정수의 파편
3854,강철 어깨 보호대
3855,룬 강철 어깨 갑옷
3857,화이트록의 갑옷
3858,고대유물 방패
3859,타곤 산의 방패
3860,타곤 산의 방벽
3862,영혼의 낫
3863,해로윙 초승달낫
3864,검은 안개 낫
4005,제국의 명령
4628,지평선의 초점
4629,우주의 추진력
4633,균열 생성기
4636,밤의 수확자
4637,악마의 포옹
4643,경계의 와드석
4644,부서진 여왕의 왕관
4645,그림자불꽃
6035,은빛 여명
6333,죽음의 무도
6609,화공 펑크 사슬검
6616,흐르는 물의 지팡이
6617,월석 재생기
6620,헬리아의 메아리
6630,선혈포식자
6631,발걸음 분쇄기
6632,신성한 파괴자
6653,리안드리의 고뇌
6655,루덴의 폭풍
6656,만년서리
6657,영겁의 지팡이
6662,얼어붙은 건틀릿
6664,터보 화공 탱크
6665,해신 작쇼
6667,광휘의 미덕
6671,돌풍
6672,크라켄 학살자
6673,불멸의 철갑궁
6675,나보리 신속검
6676,징수의 총
6691,드락사르의 황혼검
6692,월식
6693,자객의 발톱
6694,세릴다의 원한
6695,독사의 송곳니
6696,원칙의 원형낫
8001,증오의 사슬
8020,심연의 가면
