,0
0,Draven
1,Sivir
2,Qiyana
3,Jayce
4,Neeko
5,Cassiopeia
6,Olaf
7,Janna
8,Rakan
9,Volibear
10,Varus
11,Alistar
12,Caitlyn
13,Fiora
14,Yorick
15,Elise
16,Samira
17,Malzahar
18,Braum
19,Kayle
20,Lucian
21,Gragas
22,Udyr
23,Shen
24,Ziggs
25,Irelia
26,Akali
27,KogMaw
28,Zoe
29,Trundle
30,Kennen
31,Akshan
32,Viktor
33,Maokai
34,Lulu
35,Morgana
36,Hecarim
37,Nidalee
38,Ekko
39,Pyke
40,Briar
41,Leblanc
42,Kaisa
43,Vi
44,Graves
45,Warwick
46,Nunu
47,MasterYi
48,Vex
49,Yuumi
50,Lissandra
51,Brand
52,Renekton
53,Jinx
54,Gnar
55,Bard
56,MonkeyKing
57,Zyra
58,Nilah
59,Riven
60,Fizz
61,Lillia
62,Katarina
63,Annie
64,AurelionSol
65,Nasus
66,Aphelios
67,Sona
68,Milio
69,Kalista
70,Soraka
71,Tristana
72,Ezreal
73,Zilean
74,Sett
75,Zac
76,Gwen
77,Mordekaiser
78,Kindred
79,Thresh
80,Karma
81,Anivia
82,Senna
83,Ornn
84,Kayn
85,Zed
86,Illaoi
87,TwistedFate
88,Aatrox
89,Syndra
90,Shyvana
91,Sion
92,DrMundo
93,Tryndamere
94,Darius
95,Jhin
96,Zeri
97,Rell
98,Ashe
99,Urgot
100,Rumble
101,JarvanIV
102,Heimerdinger
103,Taliyah
104,Camille
105,Blitzcrank
106,Rammus
107,Gangplank
108,RekSai
109,Singed
110,Lux
111,Xayah
112,Naafiri
113,Poppy
114,Sejuani
115,Swain
116,Xerath
117,Rengar
118,Nocturne
119,KSante
120,Ivern
121,Evelynn
122,Talon
123,Azir
124,Seraphine
125,XinZhao
126,Kled
127,Nautilus
128,Vladimir
129,Jax
130,Ahri
131,MissFortune
132,Belveth
133,Leona
134,Amumu
135,Diana
136,Shaco
137,Orianna
138,Sylas
139,Taric
140,Pantheon
141,Renata
142,Ryze
143,Yone
144,Corki
145,Khazix
146,Karthus
147,Yasuo
148,Garen
149,Nami
150,Galio
151,LeeSin
152,Malphite
153,FiddleSticks
154,TahmKench
155,Vayne
156,Velkoz
157,Twitch
158,Teemo
159,Skarner
160,Quinn
161,Chogath
162,Viego
