tier,summonerId,summonerName
SILVER,bfEdP8Bqy5MxjzJG1w3Z7B4YFLQ3OYeQeDx5xcA1jAid1IBW,캣바보
SILVER,jKcPYN0VoOqkb_OcNNBbR-i1z3SGvm1HFu376u2FyNWBeaua,까까보조
SILVER,fJtW1gLMG623lekp4iZ0iA0RkM5l36O5AlFOgmVKtWHKcKsH,박태양조질사람
SILVER,cqRyfpNm0RDkctT91XXS3TihdMYYT3Um6ehQlmMI-2dTB33G,ZPDLSWKDDLS
SILVER,GbIu8gBm0BFjrQ4lXzNIX5gXeh5V0T3A27IizQ4xGZRYNAXH,공학미적분학
SILVER,Ixxg3KI6iiRHv4aWud-es-0tt_eQ2J5UH4H5IR2GwDbyDvyC,소나무곰돌이
SILVER,HgVrRlWGPJZTtxVa3Jx9s2hSQj-U0wlcl8L898eiwS61ia9_,dungilgeoyq
SILVER,O73wXlhXFtytwRFaMOkmQPxmGR0TMYDXJofF48TDPiP3rGY,wang mei jiao
SILVER,bL0HOKg3LMz-_mw48ImQD3iJB9KwE4261ELtWKTKwu7SxcO4,체리향 푸딩
SILVER,9wdn3CFI3ggnJqDDLzugihFxCQY47EaG9iw5Xsl8s2wsDORa,god07
SILVER,I0GN3kmdxeIjaGABdIusmC25gsHd45ES9Zz0o8l0kCOiLsfv,달빛지는밤
SILVER,VFHVxh7-VIHuecXjSy19UNr4yaxIolmt7obrSuSiL-c0mbMt,말은싸가지있게
SILVER,qwte7n2FIawzchZ6ou2lba_I-DsVznyGkaWb36Hdhw_WXm8,안토니 홍시알
SILVER,u2eRvKBKdxUFRaPpoxrw--7O8iWYYKljdSO-M32iFawwZ9A,박지성의슬라이딩
SILVER,zjPIL_XsvOv5EeHp-JNfPnAsZaW7eC2EUtaaMF4zbIi_ngw,전기값
SILVER,ZY6ISddNbbmrhMKBP-5-qGhxrbOr2i-qt6lczvwnAjpzps8W,운빨좋은아이
SILVER,YGURGJnD5L-65ZNkCpLDWEZZB_AQLtUaUaDsp-8VmKy4l4mh,롤린폴린
SILVER,g8fRpK4IOT0MUV54vo_AFQW7Tv7gxAxAn7UQ7l74mbiG8hDv,반광옥 잘 지내는 너에게
SILVER,3M0j2XA4YTwpFYleBz7H8CLrYDK-r9kis1XxiTC8-xW0G3Y,날아라마자용
SILVER,HuPiUgT3fLN1ik6x-FA5ldXLpXnQajC2QMYnO8JFm4w5E302,칼리스타외길인생
SILVER,UHJXkYA-d5JLZXg5WYphVvDirckwv-QsqgC0Mtfw1vA-LwSm,Raaaaaaaaaaid
SILVER,NoGzZGV0mffRlhadXVxjQgPVa-rfoPq7YES3ofaJHlFPJWVj,휘빠람빠람빠
SILVER,XoGnpsJy-uYjbzipxVzh9OLdSGeh9hGy7AX2Z5WBHpF48Omt,hhyun01
SILVER,E2Kt_jAlf3rdlZg1WvkVleqzn9-r5PxFGETDvzFZ097TL05T,풍덩풍덩이
SILVER,uCLNHDSvUczp4IbvflIoZZkUtC4LHahPwq4zzaz7dS6w8DUI,빵띠빵디핵빵디
SILVER,MXbQYjZRr_N20RJXh5i6dOOgNcjrnEMgxPjONvgGR9zjdWBF,섹시세붕
SILVER,0KhS4-Uk9yf_GSSXOL77WWiLaiE1Qp5MixpD95k2YPSSLPM,lollol롤lollol4
SILVER,JvZRGrRi669zaSCOimYKHEbQCw29tcPvHCm8E9N7AxR12y0,에리스 폼 미쳤다
SILVER,aRtIjVJjEmOjlVBn5yzjdQEvhXMdjWdGk3LUQzML0iFvFDsJ,LOL처음합니다만
SILVER,3UOM-n7n2KdXAjSd7kMhaJg8qJejIwuIEsqZlFiV_4H_NIKl,상당히 이기적임
SILVER,K8M-OhPDf4AOwFU2n_TY-0CyJtkqjdnMUaAh3rTjyy6xpc-d,볼케인호
SILVER,mrkb4V2nj0XHo6qfXiw4_gtAW4juMteEsPrWbfxnIB1ntXZV,eoduddl
SILVER,ygvCMXxqBhJgUOyTXbcYPFWbkC261KlPc_MujTZ4h1u5RTO2,좀 그렇다 너
SILVER,QoOeEs9CcLAGJoqPVKvCWcIPoKfJT6FxPEL_nAN6BJyxQru5,칼의노래1
SILVER,chJBmx_IqEV0Aepk3qmFMBQJtDxeNXmNUeGVAik40EDkKNwL,하와이피스톨s
