MY_CHAMPION,ENEMY_CHAMPION,ITEM_1000,ITEM_1001,ITEM_1002,ITEM_1003,ITEM_2000,ITEM_2001,ITEM_2002,ITEM_2003,WIN
Rise,Teemo,1,0,0,0,1,1,0,1,FALSE
Rise,Teemo,1,0,0,0,1,0,0,1,TRUE
Rise,Teemo,0,0,1,1,0,0,0,1,TRUE
Rise,Teemo,1,0,0,0,1,1,0,0,FALSE
Rise,Teemo,1,0,0,0,1,0,0,1,FALSE
Rise,Teemo,0,0,1,1,0,0,0,1,TRUE
Rise,Teemo,1,0,0,1,1,1,0,1,TRUE
Rise,Teemo,1,0,0,0,1,0,0,1,FALSE
Rise,Teemo,0,0,1,1,0,0,0,1,TRUE
Rise,Teemo,1,0,1,0,1,0,0,1,TRUE
Rise,Teemo,1,0,0,0,1,0,0,0,FALSE
Rise,Teemo,0,0,1,1,0,0,0,1,FALSE
Rise,Teemo,1,0,0,0,0,1,0,1,TRUE
Rise,Teemo,1,1,0,0,1,0,0,1,TRUE
Rise,Teemo,0,0,1,1,0,0,0,0,TRUE
Rise,Teemo,1,0,0,0,1,0,0,1,FALSE
Rise,Teemo,0,0,1,1,0,0,0,0,FALSE
Rise,Teemo,1,0,1,0,1,0,0,1,TRUE
Rise,Teemo,1,0,0,0,1,0,0,1,TRUE
Rise,Teemo,0,0,1,1,0,0,0,1,FALSE
Rise,Teemo,1,0,0,0,0,1,0,0,FALSE
Rise,Teemo,1,1,0,0,1,0,0,0,FALSE
Rise,Teemo,0,0,1,1,0,0,0,0,TRUE
Rise,Teemo,0,1,1,1,0,0,0,0,TRUE
Rise,Teemo,0,0,0,0,0,0,0,1,FALSE
Rise,Teemo,1,1,1,0,1,0,0,0,FALSE
Rise,Teemo,0,0,1,1,0,0,0,1,TRUE
Rise,Teemo,0,0,0,0,0,0,0,0,TRUE
Rise,Teemo,1,1,1,0,1,0,0,1,TRUE
Rise,Teemo,0,0,1,1,0,0,0,1,FALSE
Rise,Teemo,1,0,0,0,1,1,0,0,FALSE
Rise,Teemo,1,0,0,0,1,0,0,1,TRUE
Rise,Teemo,0,0,1,1,0,0,0,0,TRUE
Rise,Teemo,1,0,0,1,1,1,0,0,TRUE
Rise,Teemo,1,0,0,0,1,0,0,1,FALSE
